Year,Week,Date,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2018,51,12/17/2018,6.329606567,6.329606567,6.562,6.87539,56528,3490,88,0,3578
2018,52,12/24/2018,6.741512869,6.741512869,6.65081,6.96401,56026,3636,141,0,3777
2019,1,12/31/2018,7.08587115,7.08587115,6.73165,7.04466,58285,3919,211,0,4130
2019,2,1/7/2019,7.393316195,7.393316195,6.80331,7.11614,58350,4055,259,0,4314
2019,3,1/14/2019,7.463148129,7.463148129,6.86474,7.17738,58206,4098,246,0,4344
2019,4,1/21/2019,7.209977199,7.209977199,6.91502,7.22747,57892,3898,276,0,4174
2019,5,1/28/2019,7.25871648,7.25871648,6.95338,7.26566,58137,3893,327,0,4220
2019,6,2/4/2019,7.275306342,7.275306342,6.97926,7.29135,58513,3890,367,0,4257
2019,7,2/11/2019,7.551562392,7.551562392,6.99223,7.30415,57988,3896,483,0,4379
2019,8,2/18/2019,7.693501656,7.693501656,6.99211,7.30385,57984,3987,474,0,4461
2019,9,2/25/2019,7.374432769,7.374432769,6.97885,7.29042,57957,3758,516,0,4274
2019,10,3/4/2019,7.338242581,7.338242581,6.95264,7.26403,58529,3752,543,0,4295
2019,11,3/11/2019,7.753959892,7.753959892,6.91382,7.22503,57893,3978,511,0,4489
2019,12,3/18/2019,7.493386128,7.493386128,6.86293,7.17397,57077,3797,480,0,4277
2019,13,3/25/2019,7.364854133,7.364854133,6.80068,7.11155,56661,3714,459,0,4173
2019,14,4/1/2019,7.019156005,7.019156005,6.72795,7.03865,56588,3633,339,0,3972
2019,15,4/8/2019,6.764965661,6.764965661,6.64576,6.9563,55477,3450,303,0,3753
2019,16,4/15/2019,6.639979434,6.639979434,6.55528,6.86565,54458,3414,202,0,3616
2019,17,4/22/2019,6.39214078,6.39214078,6.45778,6.76799,53644,3273,156,0,3429
2019,18,4/29/2019,6.151451706,6.151451706,6.35466,6.66469,53971,3223,97,0,3320
2019,19,5/6/2019,6.167920081,6.167920081,6.24736,6.55723,53454,3229,68,0,3297
2019,20,5/13/2019,5.989208969,5.989208969,6.13741,6.44712,53563,3158,50,0,3208
2019,21,5/20/2019,5.922241473,5.922241473,6.02638,6.33592,53679,3149,30,0,3179
2019,22,5/27/2019,5.96862016,5.96862016,5.91582,6.2252,52709,3117,29,0,3146
2019,23,6/3/2019,5.771402756,5.771402756,5.80731,6.11653,53124,3045,21,0,3066
2019,24,6/10/2019,5.604848669,5.604848669,5.70237,6.01143,52633,2934,16,0,2950
2019,25,6/17/2019,5.672252831,5.672252831,5.60249,5.9114,52272,2952,13,0,2965
2019,26,6/24/2019,5.581956847,5.581956847,5.50908,5.81782,52186,2898,15,0,2913
